0,000637
0,611804
-0,679490
-0,631299
-0,750203
-0,472477
-0,113131
-0,127065
0,287093
-0,368352
-0,290641
-0,179664
0,797490
-0,204488
0,068657
0,231568
0,559237
0,048437
-0,853473
-0,131912
-0,849775
0,475985
-0,422839
-0,406512
-0,490256
0,608215
-0,832775
0,212202
-0,402995
0,311362
0,336058
0,497751
0,023166
0,556567
0,966453
0,172963
-0,815910
-0,246679
-0,852563
0,371184
0,484969
-0,244744
-0,898812
0,182460
0,450768
0,060176
-0,485972
0,110005
-0,962707
-0,439445
0,872748
-0,943167
-0,858437
-0,444745
-0,249680
-0,453717
-0,914941
-0,182455
0,858485
-0,239524
-0,771093
0,294542
-0,841773
0,152073
-0,248890
-0,939093
-0,574964
0,035200
-0,121998
-0,529065
-0,693617
-0,737030
0,126191
-0,702097
0,545429
-0,323041
0,458079
0,932361
0,886964
0,566692
-0,379988
0,865057
0,723525
-0,343448
-0,679689
-0,626155
0,102835
-0,716218
0,291392
0,061320
0,144257
0,420299
-0,744137
0,202484
-0,527629
0,106973
0,327164
-0,202592
-0,927754
-0,884412
0,368342
-0,751445
-0,731865
-0,405467
-0,353542
0,713565
0,171491
-0,795463
0,773022
-0,041545
0,671229
-0,706965
-0,076489
0,294754
-0,150413
0,143822
0,568600
-0,930074
0,527603
-0,240009
0,013743
-0,428140
-0,719710
0,369606
0,874344
-0,347339
-0,623422
0,101508
0,550069
-0,681250
0,106674
-0,181589
-0,069011
-0,024036
0,319044
-0,911815
-0,681913
0,730836
0,748192
-0,568512
0,421390
0,825454
0,879154
0,362243
-0,991176
-0,026353
-0,138350
-0,142345
0,754776
0,300182
0,310293
0,483673
0,798190
-0,261620
0,162615
0,271789
-0,104409
-0,063749
0,590908
0,136098
0,620011
-0,676660
